Gender,Talker,Vowel,Word,Filename,Label,seg_Start,seg_End,H1c_mean,H2c_mean,H4c_mean,A1c_mean,A2c_mean,A3c_mean,H2Kc_mean,H1H2c_mean,H2H4c_mean,H1A1c_mean,H1A2c_mean,H1A3c_mean,H42Kc_mean,H2KH5Kc_mean,CPP_mean,Energy_mean,HNR05_mean,HNR15_mean,HNR25_mean,HNR35_mean,SHR_mean,H1u_mean,H2u_mean,H4u_mean,A1u_mean,A2u_mean,A3u_mean,H2Ku_mean,H5Ku_mean,H1H2u_mean,H2H4u_mean,H1A1u_mean,H1A2u_mean,H1A3u_mean,H42Ku_mean,H2KH5Ku_mean,strF0_mean,sF0_mean,pF0_mean,shrF0_mean,oF0_mean,sF1_mean,sF2_mean,sF3_mean,sF4_mean,pF1_mean,pF2_mean,pF3_mean,pF4_mean,oF1_mean,oF2_mean,oF3_mean,oF4_mean,sB1_mean,sB2_mean,sB3_mean,sB4_mean,pB1_mean,pB2_mean,pB3_mean,pB4_mean,oB1_mean,oB2_mean,oB3_mean,oB4_mean,epoch_mean,soe_mean
f,subj221,u,boot,f_subj221_u_boot.mat,boot,34.434,177.513,17.13,5.568,4.554,2.224,-9.093,-4.943,-1.684,11.563,1.014,14.906,26.223,22.073,6.237,20.99,23.203,3.827,28.09,42.222,45.43,47.141,0.485,20.016,20.701,-3.489,20.667,-4.655,-13.561,-14.893,-22.674,-0.686,24.191,-0.651,24.671,33.576,11.404,7.547,201.745,199.169,183.695,204.308,0,380.586,1676.637,2694.695,3829.153,381.778,1805.692,3386.997,4502.163,0,0,0,0,52.673,97.581,190.651,244.936,64.185,408.594,956.611,782.603,0,0,0,0,0.2,0.077
f,subj224,u,boot,f_subj224_u_boot.mat,boot,52.739,217.713,10.979,4.23,1.113,2.355,-12.967,0.582,9.349,6.748,3.118,8.624,23.945,10.396,-8.236,33.724,17.8,2.787,13.136,28.355,37.582,41.178,0.415,14.122,16.811,-5.591,18.939,-6.55,-17.82,-17.122,-24.376,-2.689,22.402,-4.817,20.672,31.943,11.532,7.244,185.377,172.823,194.966,202.045,0,341.449,1250.946,2726.567,3944.384,355.597,1474.186,3659.932,4685.063,0,0,0,0,42.076,288.371,248.919,240.69,95.743,1201.143,775.656,1110.36,0,0,0,0,0.187,0.008
f,subj225,u,boot,f_subj225_u_boot.mat,boot,22.533,169.96,13.141,4.411,2.701,1.614,-14.778,2.433,4.827,8.73,1.71,11.527,27.919,10.708,-2.126,27.15,21.459,4.968,12.178,28.931,36.707,39.54,0.488,15.916,17.988,-5.107,18.593,-10.001,-17.358,-18.153,-22.212,-2.073,23.095,-2.606,25.989,33.346,13.046,3.851,176.607,106.742,184.869,207,0,346.431,1463.626,3112.556,4429.961,375.212,2022.758,3757.723,4807.219,0,0,0,0,38.085,267.16,203.5,435.188,141.066,1249.644,819.442,234.635,0,0,0,0,0.162,0.024
f,subj227,u,boot,f_subj227_u_boot.mat,boot,80.725,237.113,13.174,14.769,6.893,6.416,-6.347,8.776,16.771,-1.596,7.876,6.757,19.521,4.397,-9.878,39.641,18.4,4.12,14.65,31.87,40.297,43.644,0.02,20.549,11.432,-6.173,17.362,-5.593,-17.725,-15.747,-22.87,9.118,17.605,3.187,26.142,38.275,9.574,7.083,206.922,206.445,206.76,204.674,0,252.351,1265.417,2877.085,4505.435,289.033,1456.631,3443.764,5299.493,0,0,0,0,98.395,277.439,406.061,614.665,95.059,557.582,910.813,480.698,0,0,0,0,0.191,0.047
f,subj229,u,boot,f_subj229_u_boot.mat,boot,59.613,226.647,11.666,15.809,8.387,7.52,-8.102,3.282,10.09,-4.143,7.422,4.146,19.768,8.384,-1.703,35.682,19.023,3.357,17.873,32.143,40.802,44.437,0.01,19.966,11.434,-7.052,18.605,-8.433,-18.374,-17.984,-25.593,8.532,18.486,1.361,28.399,38.34,10.933,7.666,221.146,207.287,220.074,221.839,0,261.181,1395.184,2762.79,4116.522,317.979,1545.233,3485.569,4281.406,0,0,0,0,88.095,241.308,270.817,380.028,146.613,889.113,1270.583,314.633,0,0,0,0,0.22,0.032
f,subj231,u,boot,f_subj231_u_boot.mat,boot,90.951,216.112,18.787,11.061,8.508,5.018,-5.232,1.854,0.734,7.726,2.553,13.77,24.019,16.933,7.774,19.172,24.231,5.444,20.424,38.614,42.342,44.139,0.039,22.784,19.429,-2.596,20.706,-4.137,-9.137,-12.932,-18.437,3.355,22.025,2.078,26.921,31.921,10.336,5.472,195.211,162.41,186.959,194.622,0,331.216,1744.131,2738.552,4502.673,337.787,2110.648,3030.432,4619.102,0,0,0,0,56.562,106.241,86.669,216.695,128.217,646.949,1393.911,141.31,0,0,0,0,0.19,0.037
f,subj232,u,boot,f_subj232_u_boot.mat,boot,131.2,304.336,15.252,9.992,4.279,-6.251,-7.193,5.471,6.997,5.26,5.714,21.504,22.445,9.781,-2.718,27.995,22.942,2.973,30.648,40.438,46.206,47.144,0.061,19.859,15.994,-4.554,11.02,-1.513,-11.282,-15.266,-20.999,3.865,20.548,8.839,21.372,31.142,10.713,5.708,230.376,204.545,238.396,229.747,0,370.548,1377.529,2832.873,4140.414,434.573,1859.638,3547.604,4569.158,0,0,0,0,117.203,150.478,88.169,288.461,450.836,937.128,682.084,272.504,0,0,0,0,0.218,0.066
f,subj235,u,boot,f_subj235_u_boot.mat,boot,2.71,142.644,15.826,11.42,4.914,-4.298,-7.033,1.344,7.36,4.406,6.506,20.124,22.859,14.482,-2.446,30.959,23.64,3.184,26.125,37.373,44.227,47.229,0.091,20.562,16.986,-4.541,11.883,-1.714,-13.102,-15.724,-23.415,3.575,21.527,8.652,22.25,33.637,11.184,7.811,217.491,207.922,218.682,226.831,0,340.452,1312.133,2540.03,3871.907,381.838,1504.656,3339.639,4563.2,0,0,0,0,96.953,146.757,180.608,282.182,244.634,712.349,1046.339,185.137,0,0,0,0,0.206,0.056
f,subj238,u,boot,f_subj238_u_boot.mat,boot,60.813,266.679,12.793,-0.97,0.854,-2.682,-13.138,-7.379,0.258,13.762,-1.824,15.475,25.931,20.171,0.596,28.615,21.063,1.112,29.755,40.844,46.176,48.829,0.125,15.436,14.324,-6.713,14.588,-7.393,-19.234,-20.828,-28.475,1.112,21.037,1.008,22.989,34.83,14.115,7.645,182.681,174.893,180.727,181.115,0,352.353,1387.721,2543.781,3810.538,368.309,1505.939,3285.768,4731.109,0,0,0,0,109.069,126.869,185.859,344.757,206.199,655.956,1368.049,1241.903,0,0,0,0,0.169,0.008
f,subj239,u,boot,f_subj239_u_boot.mat,boot,41.6,183.909,13.047,4.194,2.798,0.588,-9.542,4.599,4.586,8.853,1.395,12.458,22.589,8.448,-1.787,30.219,24.651,2.289,27.067,39.456,45.192,44.942,0.597,16.237,18.373,-4.958,18.486,-3.578,-10.228,-16.667,-25.634,-2.136,23.331,-2.25,19.815,26.465,11.709,9.014,197.166,197.374,199.089,223.815,0,371.741,1410.323,2782.397,3561.917,501.517,2615.591,3578.259,3944.029,0,0,0,0,29.074,97.687,132.978,192.194,518.583,1085.946,480.346,1442.883,0,0,0,0,0.189,0.072
